#20110221
E212|S|||Household Appliances|
E213|S|||Housewares & Specialties|
E311|S|||Consumer Electronics|
E321|S|||Sport Equipment & Hobbies Goods|
E411|S|||Clothing, Accessories & Bags|
E412|S|||Footwear|
E413|S|||Textiles|
E511|S|||Gaming Venue|
E512|S|||Hotels, Resorts & Cruise Lines|
E513|S|||Travel Agencies|
E514|S|||Recreational & Sports Facilities|
E515|S|||Restaurants|
E521|S|||Education Services|
E522|S|||Consumer Support Services|
E611|S|||Advertising|
E612|S|||Broadcasting|
E613|S|||Cable & Satellite|
E614|S|||Consumer Publishing|
E621|S|||Entertainment & Movie Production|
E711|S|||Consumer Distributors|
E721|S|||Internet & Homeshop Retail|
E731|S|||Department Stores|
E741|S|||Apparel & Textile Retail|
E742|S|||Electronics Retail|
E743|S|||Home Improvement Retail|
E744|S|||Specialty Stores|
E745|S|||Automotive Retail|
F111|S|||Healthcare Equipment|
F112|S|||Healthcare Supplies & Distributions|
F121|S|||Healthcare Providers|
F211|S|||Pharmaceuticals|
F221|S|||Healthcare Research|
G111|S|||Banks|
G211|S|||Consumer Financing|
G221|S|||Venture Capital|
G222|S|||Specialize Business Financing|
G311|S|||Investment Management|
G312|S|||Investment Banking & Brokerage Services|
G313|S|||Market Operators|
G314|S|||Investment Service Support|
G411|S|||Insurance Brokers|
G412|S|||General Insurance|
G413|S|||Life Insurance|
G414|S|||Reinsurance|
G511|S|||Financial Holdings|
G512|S|||Investment Companies|
H111|S|||Real Estate Development & Management|
H112|S|||Real Estate Services|
I111|S|||Online Applications & Services|
I121|S|||IT Services & Consulting|
I131|S|||Software|
I211|S|||Networking Equipment|
I221|S|||Computer Hardware|
I231|S|||Electronic Equipment & Instruments|
I232|S|||Electronic Components & Semiconductors|
J111|S|||Airport Operators|
J112|S|||Highways & Railtracks|
J113|S|||Marine Ports & Services|
J211|S|||Heavy Constructions & Civil Engineering|
J311|S|||Wired Telecommunication Service|
J312|S|||Integrated Telecommunication Service|
J321|S|||Wireless Telecommunication Services|
J411|S|||Electric Utilities|
J421|S|||Gas Utilities|
J431|S|||Water Utilities|
K111|S|||Airlines|
K121|S|||Passenger Marine Transportation|
K131|S|||Rail|
K132|S|||Road Transportation|
K211|S|||Logistics & Deliveries|
Z111|S|||Mutual Fund / ETFs|
Z112|S|||Real Estate Investment Trusts|
Z113|S|||Infrastructure Investment Trusts|
Z211|S|||Government Bonds|
Z212|S|||Corporate Bonds|
